presion_aceite,voltaje_bateria,voltaje_alternador,temp_vacio,temp_carga,nivel_refrigerante
2.63,11.83,12.52,58.05,87.19,1
4.23,13.59,13.04,64.69,56.02,1
4.39,10.45,12.25,68.21,80.37,1
6.28,13.27,15.04,74.76,87.57,1
2.97,11.61,12.27,55.26,89.45,1
2.83,13.35,15.88,69.15,85.8,0
3.97,11.96,12.48,61.5,78.35,1
2.8,10.8,10.29,57.71,71.38,1
2.46,12.27,13.68,50.11,72.69,1
3.92,7.15,15.85,59.14,47.88,1
0.89,13.87,16.19,28.56,70.86,1
6.14,9.31,8.48,105.48,71.02,0
2.92,12.52,13.35,52.23,78.57,1
5.26,11.18,12.58,64.9,86.46,1
5.36,11.0,18.97,57.94,54.22,0
5.84,13.04,13.12,45.57,81.14,1
2.47,11.55,13.42,61.81,86.26,1
5.53,10.38,14.62,73.2,78.53,1
5.18,14.24,16.46,70.68,72.47,1
2.15,10.26,12.75,63.72,84.21,1
7.26,5.43,14.95,46.43,98.53,1
4.32,15.57,12.83,70.71,85.42,1
0.97,10.97,19.15,60.92,84.31,1
5.76,13.15,13.79,63.73,78.93,1
2.17,10.24,13.86,37.66,82.69,1
5.22,13.85,14.57,66.31,80.63,1
3.75,11.7,12.78,55.15,71.43,1
3.03,12.53,15.51,71.32,74.4,1
4.74,11.26,12.75,66.09,83.96,1
2.78,13.35,15.62,72.26,77.37,1
5.78,13.25,14.08,60.71,82.75,1
6.73,11.89,14.0,67.75,81.3,1
6.21,13.21,14.68,58.41,73.71,1
4.04,10.83,13.3,55.04,88.25,1
5.45,12.65,13.81,63.97,70.43,1
2.14,12.33,8.91,75.33,89.31,1
9.72,10.45,14.42,54.15,76.14,1
5.59,12.23,13.56,63.47,71.55,1
0.96,6.41,13.62,71.12,63.91,1
6.55,12.09,14.28,57.81,77.33,1
6.87,11.41,12.45,54.95,89.56,1
2.19,12.37,15.87,64.46,86.19,1
6.29,12.53,14.82,61.9,74.25,1
4.26,10.88,14.1,51.0,85.89,1
6.46,10.2,14.12,70.62,87.01,1
6.72,13.81,13.76,51.49,75.11,1
5.9,12.77,14.22,63.66,122.54,1
3.47,13.54,13.33,75.34,84.58,1
6.0,13.88,12.38,86.88,73.64,1
9.3,10.56,10.55,51.17,74.56,1
2.79,11.65,18.16,66.68,81.33,1
4.07,10.18,15.35,53.5,83.12,1
3.14,13.03,13.28,59.07,73.38,1
2.71,10.92,13.22,53.57,83.28,1
5.6,11.7,14.9,73.48,84.23,1
3.2,12.69,12.52,66.17,123.54,1
4.02,11.94,12.8,70.55,125.71,1
2.8,12.78,19.69,71.33,84.8,1
4.25,11.67,14.81,75.01,78.92,1
5.42,10.26,13.97,50.22,78.91,1
5.07,9.17,15.79,74.24,48.02,1
4.21,12.52,17.8,73.82,70.8,1
8.66,11.07,15.27,65.93,87.51,1
4.26,16.6,9.02,60.88,42.29,1
2.83,13.29,13.84,69.95,53.65,1
4.87,11.38,12.53,58.53,88.75,1
4.76,11.29,13.08,74.07,74.25,1
2.39,13.8,14.14,68.7,75.76,1
6.04,17.27,14.79,105.53,81.18,1
9.02,10.82,12.75,66.9,71.49,1
4.8,11.01,8.44,56.72,88.41,1
4.89,13.86,13.75,54.7,75.42,1
2.61,12.4,15.63,74.35,86.45,1
3.28,12.49,14.43,69.53,80.82,1
4.94,13.53,13.95,71.4,83.35,0
4.2,13.7,13.91,66.59,73.18,1
1.23,13.65,12.22,66.18,75.91,1
